Carrer / Calle;OBJECTID;Número Finca;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
LEONES;74764;2ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3486556270020144, 39.464956683009596], ""type"": ""Point""}";39.464956683009596, -0.3486556270020144
FUENTE DE SAN LUIS;74769;56ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3715672584975933, 39.45452737043197], ""type"": ""Point""}";39.45452737043197, -0.3715672584975933
PINTOR MATARANA;74773;9;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3932695480383356, 39.49325097780368], ""type"": ""Point""}";39.49325097780368, -0.3932695480383356
ABEN AL ABBAR;74781;2;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35298261128789205, 39.46622962230546], ""type"": ""Point""}";39.46622962230546, -0.35298261128789205
VEINTICINCO DE ABRIL;74783;5;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3982685354940109, 39.470445769008094], ""type"": ""Point""}";39.470445769008094, -0.3982685354940109
TAMARINDOS;74785;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.4023175526656802, 39.47823296702373], ""type"": ""Point""}";39.47823296702373, -0.4023175526656802
MIGUEL SERVET;74788;26;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3939231813194061, 39.48807360910049], ""type"": ""Point""}";39.48807360910049, -0.3939231813194061
SAN JOSE DE PIGNATELLI;74789;18ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3838680947824007, 39.49119584629804], ""type"": ""Point""}";39.49119584629804, -0.3838680947824007
LLANERA DE RANES;74790;7;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3908625738624765, 39.45412055135508], ""type"": ""Point""}";39.45412055135508, -0.3908625738624765
BELLO;74792;1ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.33483430448254947, 39.46040064815826], ""type"": ""Point""}";39.46040064815826, -0.33483430448254947
ZAPADORES;74794;32;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36827716829431717, 39.45769753665845], ""type"": ""Point""}";39.45769753665845, -0.36827716829431717
JOSE GROLLO;74796;92ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39445894907719964, 39.494541858983915], ""type"": ""Point""}";39.494541858983915, -0.39445894907719964
RIBERA;74799;21ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3759923800385588, 39.46739756377732], ""type"": ""Point""}";39.46739756377732, -0.3759923800385588
HERMANOS VILLALONGA;74802;32;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3570612475782018, 39.485623222022376], ""type"": ""Point""}";39.485623222022376, -0.3570612475782018
EMILIO BARO;74805;77ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35916532827111086, 39.491334051494356], ""type"": ""Point""}";39.491334051494356, -0.35916532827111086
CONCHITA PIQUER;74806;7;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3917759510502997, 39.486883206061904], ""type"": ""Point""}";39.486883206061904, -0.3917759510502997
POETA MAS Y ROS;74807;37;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3478045453750032, 39.470334474401795], ""type"": ""Point""}";39.470334474401795, -0.3478045453750032
JOSE BALLESTER GOZALVO;74808;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.324671077022925, 39.47687553593393], ""type"": ""Point""}";39.47687553593393, -0.324671077022925
LEONES;74809;48;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.34723721376576716, 39.468675850275076], ""type"": ""Point""}";39.468675850275076, -0.34723721376576716
DOCTOR WAKSMAN;74810;7;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3745626384450393, 39.45681043970041], ""type"": ""Point""}";39.45681043970041, -0.3745626384450393
VALLADOLID;74811;38;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3582326160147316, 39.48867530403049], ""type"": ""Point""}";39.48867530403049, -0.3582326160147316
BLASCO IBArEZ;74813;16;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.363310344422371, 39.478123893223675], ""type"": ""Point""}";39.478123893223675, -0.363310344422371
ALEJANDRO VOLTA;74816;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.4157365944246719, 39.467895594546704], ""type"": ""Point""}";39.467895594546704, -0.4157365944246719
PIANISTA AMPARO ITURBI;74820;32;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38201751910718956, 39.45464970801351], ""type"": ""Point""}";39.45464970801351, -0.38201751910718956
MANUEL CASTELLANOS;74824;21ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3612875008035844, 39.486750288045215], ""type"": ""Point""}";39.486750288045215, -0.3612875008035844
ALBORAYA;74832;43;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36953026387177823, 39.48431973577997], ""type"": ""Point""}";39.48431973577997, -0.36953026387177823
DOCTOR RAFAEL BARTUAL;74833;33;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.404150972048084, 39.45371705253494], ""type"": ""Point""}";39.45371705253494, -0.404150972048084
MUSICO MAGENTI;74837;6ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35920246982505166, 39.48315023680884], ""type"": ""Point""}";39.48315023680884, -0.35920246982505166
ALAMEDA;74841;44;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35107521023600846, 39.45847049058278], ""type"": ""Point""}";39.45847049058278, -0.35107521023600846
JOSE BALLESTER GOZALVO;74843;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3247678636848676, 39.48113937244218], ""type"": ""Point""}";39.48113937244218, -0.3247678636848676
GASPAR AGUILAR;74847;18;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38976042156472906, 39.457514475977405], ""type"": ""Point""}";39.457514475977405, -0.38976042156472906
FRANCIA;74858;38;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.34660373218501583, 39.458914905795275], ""type"": ""Point""}";39.458914905795275, -0.34660373218501583
