DISTRICTE;BARRI;GRUP;HABITANTS GRUP;HABITANTS;HABITANTS 20-70;TOTAL;LLIURES;ORA;GUALS;PÀRQUINGS;SOLARS;ALTRES;TURISMES;PLACES/HABITANTS;PLACES/HABITANTS 20-70;PLACES/TURISMES;HABITANTS/TURISMES;HABITANTS 20-70/TURISMES;HABITANTS/HABITANTS 20-70
CIUTAT VELLA;SANT FRANCESC;Grup 2;;5624;;6764;114;86;4790;1774;0;0;;1.2;;;;;
L'EIXAMPLE;EL PLA DEL REMEI;Grup 2;;6998;;6971;363;225;4108;2275;0;0;;1.0;;;;;
EXTRAMURS;ARRANCAPINS;Grup 2;;22508;;10250;2417;506;5541;1786;0;0;;0.46;;;;;
LA SAIDIA;MORVEDRE;Grup 2;;10222;;3189;1264;0;1911;0;14;0;;0.31;;;;;
EL PLA DEL REAL;EXPOSICIO;Grup 2;;6730;;7635;1495;66;5351;723;0;0;;1.13;;;;;
EL PLA DEL REAL;MESTALLA;Grup 2;;14646;;9528;2704;693;4905;1226;0;0;;0.65;;;;;
L'OLIVERETA;NOU MOLES;Grup 2;;26051;;9294;3201;350;5085;468;190;0;;0.36;;;;;
PATRAIX;VARA DE QUART;Grup 2;;10409;;11682;3572;0;7313;431;158;208;;1.12;;;;;
PATRAIX;FAVARA;Grup 2;;3637;;2893;854;88;1324;275;216;136;;0.8;;;;;
JESUS;L'HORT DE SENABRE;Grup 2;;17062;;5106;2164;33;2612;0;297;0;;0.3;;;;;
JESUS;LA CREU COBERTA;Grup 2;;6158;;2529;913;0;1509;0;107;0;;0.41;;;;;
JESUS;CAMI REAL;Grup 2;;3841;;2044;899;0;796;0;187;162;;0.53;;;;;
QUATRE CARRERES;NA ROVELLA;Grup 2;;7815;;3176;2594;0;582;0;0;0;;0.41;;;;;
QUATRE CARRERES;LA PUNTA;Grup 2;;2603;;2857;1652;0;1097;0;108;0;;1.1;;;;;
POBLATS MARITIMS;EL GRAU;Grup 2;;9408;;5796;1263;24;2850;1094;24;541;;0.62;;;;;
POBLATS MARITIMS;NATZARET;Grup 2;;5991;;2259;1797;0;247;0;215;0;;0.38;;;;;
CAMINS AL GRAU;ALBORS;Grup 2;;8776;;3155;415;73;2460;207;0;0;;0.36;;;;;
BENICALAP;BENICALAP;Grup 2;;40908;;16855;2864;0;11714;0;2277;0;;0.41;;;;;
POBLATS DEL NORD;BENIFARAIG;Grup 2;;1014;;158;42;0;116;0;0;0;;0.16;;;;;
POBLATS DEL NORD;CARPESA;Grup 2;;1186;;158;93;0;65;0;0;0;;0.13;;;;;
POBLATS DE L'OEST;BENIMAMET;Grup 2;;13187;;6983;3454;0;3529;0;0;0;;0.53;;;;;
POBLATS DEL SUD;PINEDO;Grup 2;;2559;;501;240;0;261;0;0;0;;0.2;;;;;
POBLATS DEL SUD;EL SALER;Grup 2;;1836;;252;171;4;77;0;0;0;;0.14;;;;;
POBLATS DEL SUD;FAITANAR;Grup 2;;1295;;2790;650;0;2140;0;0;0;;2.15;;;;;
CAMPANAR;Districte;Grup;;38338;25091;31086;4877;314;17980;6312;1473;130;17004;0.81;1.24;1.83;2.25;1.48;65.4
POBLATS MARITIMS;Districte;Grup;;55843;37320;20848;6963;24;7712;1836;2310;2003;23543;0.37;0.56;0.89;2.37;1.59;66.8
CAMINS AL GRAU;Districte;Grup;;65451;43628;39387;3180;377;31854;2315;1156;505;26154;0.6;0.9;1.51;2.5;1.67;66.7
ALGIROS;Districte;Grup;;36711;24899;14060;6133;37;6052;1167;427;244;17271;0.38;0.56;0.81;2.13;1.44;67.8
BENIMACLET;Districte;Grup;;28718;19833;11211;2721;101;6253;963;1007;166;12635;0.39;0.57;0.89;2.27;1.57;69.1
POBLATS DEL NORD;Districte;Grup;;6566;4232;1572;612;0;605;0;355;0;3302;0.24;0.37;0.48;1.99;1.28;64.5
POBLATS DE L'OEST;Districte;Grup;;14387;9649;9297;3654;0;5078;565;0;0;6449;0.65;0.96;1.44;2.23;1.5;67.1
POBLATS DEL SUD;Districte;Grup;;20647;13971;8521;3255;4;5262;0;0;0;10732;0.41;0.61;0.79;1.92;1.3;67.7
CIUTAT VELLA;Districte;0 - 4;1011;;;;;;;;;;;;;;;;
CAMPANAR;Districte;0 - 4;1741;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;0 - 4;1436;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;0 - 4;1764;;;;;;;;;;;;;;;;
PATRAIX;Districte;0 - 4;2128;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;0 - 4;2870;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;0 - 4;2151;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;0 - 4;2639;;;;;;;;;;;;;;;;
BENIMACLET;Districte;0 - 4;1068;;;;;;;;;;;;;;;;
BENICALAP;Districte;0 - 4;2205;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;0 - 4;642;;;;;;;;;;;;;;;;
CAMPANAR;Districte;05-sep;2197;;;;;;;;;;;;;;;;
BENIMACLET;Districte;05-sep;1074;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;05-sep;699;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;oct-14;1090;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;oct-14;2111;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;oct-14;2859;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;oct-14;3746;;;;;;;;;;;;;;;;
RASCANYA;Districte;oct-14;3055;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;oct-14;420;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;oct-14;771;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;15 - 19;1986;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;15 - 19;2264;;;;;;;;;;;;;;;;
ALGIROS;Districte;15 - 19;1621;;;;;;;;;;;;;;;;
RASCANYA;Districte;15 - 19;2750;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;15 - 19;341;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;15 - 19;910;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;20 - 24;1343;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;20 - 24;2371;;;;;;;;;;;;;;;;
CAMPANAR;Districte;20 - 24;1594;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;20 - 24;2459;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;20 - 24;2522;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;20 - 24;3637;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;20 - 24;3303;;;;;;;;;;;;;;;;
ALGIROS;Districte;20 - 24;2159;;;;;;;;;;;;;;;;
BENICALAP;Districte;20 - 24;2253;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;25 - 29;2581;;;;;;;;;;;;;;;;
PATRAIX;Districte;25 - 29;3024;;;;;;;;;;;;;;;;
JESUS;Districte;25 - 29;3055;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;25 - 29;3961;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;25 - 29;818;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;30 -34;2447;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;30 -34;1710;;;;;;;;;;;;;;;;
JESUS;Districte;30 -34;3221;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;30 -34;3333;;;;;;;;;;;;;;;;
