Tipus / Tipo;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
A - Horquilla;269030;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.403400871915092, 39.46966230415602], ""type"": ""Point""}";39.46966230415602, -0.403400871915092
A - Horquilla;269036;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.399039112170694, 39.48270513162924], ""type"": ""Point""}";39.48270513162924, -0.399039112170694
A - Horquilla;269039;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39837676335012445, 39.483034891482575], ""type"": ""Point""}";39.483034891482575, -0.39837676335012445
A - Horquilla;269042;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.395628261906527, 39.48129618954395], ""type"": ""Point""}";39.48129618954395, -0.395628261906527
A - Horquilla;269044;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3916246340162529, 39.49073795229596], ""type"": ""Point""}";39.49073795229596, -0.3916246340162529
A - Horquilla;269046;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.4006781794668091, 39.473900153933556], ""type"": ""Point""}";39.473900153933556, -0.4006781794668091
A - Horquilla;269047;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.40153570000401656, 39.47373465039866], ""type"": ""Point""}";39.47373465039866, -0.40153570000401656
A - Horquilla;269053;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.40062931306158944, 39.47151873039441], ""type"": ""Point""}";39.47151873039441, -0.40062931306158944
A - Horquilla;269055;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.4007209383225433, 39.472040787427055], ""type"": ""Point""}";39.472040787427055, -0.4007209383225433
A - Horquilla;269059;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.40083741899103204, 39.46964103489164], ""type"": ""Point""}";39.46964103489164, -0.40083741899103204
A - Horquilla;269060;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39968711907558585, 39.46897117076114], ""type"": ""Point""}";39.46897117076114, -0.39968711907558585
A - Horquilla;269066;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39719400921387465, 39.47227082314185], ""type"": ""Point""}";39.47227082314185, -0.39719400921387465
A - Horquilla;269070;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39880567920895377, 39.47187325113344], ""type"": ""Point""}";39.47187325113344, -0.39880567920895377
A - Horquilla;269071;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3975406326209671, 39.470046478367514], ""type"": ""Point""}";39.470046478367514, -0.3975406326209671
A - Horquilla;269074;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39846877447607204, 39.47024893146281], ""type"": ""Point""}";39.47024893146281, -0.39846877447607204
A - Horquilla;269081;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39746877113722257, 39.469375963663474], ""type"": ""Point""}";39.469375963663474, -0.39746877113722257
A - Horquilla;269082;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3978446331330844, 39.46866968289716], ""type"": ""Point""}";39.46866968289716, -0.3978446331330844
A - Horquilla;269089;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3948792180052135, 39.470750039657744], ""type"": ""Point""}";39.470750039657744, -0.3948792180052135
A - Horquilla;269091;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3968041995131906, 39.47059278371961], ""type"": ""Point""}";39.47059278371961, -0.3968041995131906
A - Horquilla;269092;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3965385425296779, 39.46896866730183], ""type"": ""Point""}";39.46896866730183, -0.3965385425296779
