gid;Número Placa;Cod. Via / Cod. Vía;Portal;Data Alta / Fecha Alta;objectid;Nombre Places / Numero Plazas;Cod. Activitat / Cod. Actividad;Carrer / Calle;NUM_PLAZAS_TRIB;METROS_AUT ;geo_shape;geo_point_2d
97866;X004359;30660;71;19940810;;0;RE;CARRER FONTANARS DELS ALFORINS 71;19;3.0;"{""coordinates"": [-0.39442507020698103, 39.460153731826566], ""type"": ""Point""}";39.460153731826566, -0.39442507020698103
97867;X004364;5070;13;19940729;;0;RE;CARRER AMADEU DESFILIS 13;3;3.5;"{""coordinates"": [-0.39490649956740087, 39.49968599980423], ""type"": ""Point""}";39.49968599980423, -0.39490649956740087
97873;X004375;11040;21;19940729;;3;RE;CARRER BERNI I CATALÀ 21;3;3.0;"{""coordinates"": [-0.3760829996333692, 39.49422299992303], ""type"": ""Point""}";39.49422299992303, -0.3760829996333692
97874;X004374;70530;74;19940729;;3;RE;CARRER SANT DOMÉNEC SAVIO 74;3;3.0;"{""coordinates"": [-0.3755654999792864, 39.49653599987681], ""type"": ""Point""}";39.49653599987681, -0.3755654999792864
97878;X004384;24990;16;19940729;;0;RE;CARRER DOCTOR SERRANO 16;2;3.0;"{""coordinates"": [-0.3737430002721934, 39.462705000002245], ""type"": ""Point""}";39.462705000002245, -0.3737430002721934
97879;X004382;39010;59;19940729;;0;RE;CARRER JOSE MARIA HARO (MAGISTRAT) 59;31;3.0;"{""coordinates"": [-0.3370410005369779, 39.47277600004734], ""type"": ""Point""}";39.47277600004734, -0.3370410005369779
97881;X004387;64290;5;19940729;;0;CO;CARRER RICARDO MICÓ 5;26;3.0;"{""coordinates"": [-0.38818799950242633, 39.48223500025672], ""type"": ""Point""}";39.48223500025672, -0.38818799950242633
97884;X004388;55140;53;19940729;;0;RE;CARRER PARE VIÑAS 53;3;3.5;"{""coordinates"": [-0.37131299947769625, 39.49316099958037], ""type"": ""Point""}";39.49316099958037, -0.37131299947769625
97885;X004381;69330;316;19940729;;0;RE;CARRER SANT VICENT MÀRTIR 316;2;6.8;"{""coordinates"": [-0.38526750011583716, 39.45001500018495], ""type"": ""Point""}";39.45001500018495, -0.38526750011583716
97886;X004381;69330;316;19940729;;0;RE;CARRER SANT VICENT MÀRTIR 316;2;5.8;"{""coordinates"": [-0.38526750011583716, 39.45001500018495], ""type"": ""Point""}";39.45001500018495, -0.38526750011583716
97887;X004393;66330;113;19940729;;0;RE;CARRER SAGUNT 113;23;3.0;"{""coordinates"": [-0.3753719995434564, 39.487472999975786], ""type"": ""Point""}";39.487472999975786, -0.3753719995434564
97889;X004390;60390;23;19940830;;0;RE;CARRER POETA MARAGALL 23;32;4.0;"{""coordinates"": [-0.38914200003167226, 39.45635099968189], ""type"": ""Point""}";39.45635099968189, -0.38914200003167226
97894;X004398;5550;56;19940729;;0;RE;CARRER ÀNGEL GUIMERÀ 56;8;3.0;"{""coordinates"": [-0.3895065005413271, 39.46957199958364], ""type"": ""Point""}";39.46957199958364, -0.3895065005413271
97897;X004401;38940;72;19940729;;0;RE;CARRER JOSÉ GROLLO 72;3;3.5;"{""coordinates"": [-0.3928860000504016, 39.49373700025493], ""type"": ""Point""}";39.49373700025493, -0.3928860000504016
97902;X004404;57300;87;19990621;;0;CO;AVINGUDA PÉREZ GALDÓS 87;61;3.0;"{""coordinates"": [-0.39189150055794586, 39.46912199985422], ""type"": ""Point""}";39.46912199985422, -0.39189150055794586
97903;X004406;31110;5;19940922;;0;CO;CARRER FRANCESC CUBELLS 5;19;7.0;"{""coordinates"": [-0.3334663778208339, 39.46322143816426], ""type"": ""Point""}";39.46322143816426, -0.3334663778208339
97905;X004407;30000;33;19981230;;40;CO;GRAN VIA FERRAN EL CATÒLIC 33;40;3.0;"{""coordinates"": [-0.3865725003843041, 39.47196599977721], ""type"": ""Point""}";39.47196599977721, -0.3865725003843041
97906;X004413;23820;27;19941005;;0;RE;AVINGUDA PRIMER DE MAIG 27;183;4.0;"{""coordinates"": [-0.38881349962712747, 39.44893499961937], ""type"": ""Point""}";39.44893499961937, -0.38881349962712747
