OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
172565;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3995719703517498, 39.46317258031526], ""type"": ""Point""}";39.46317258031526, -0.3995719703517498
172567;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3954501872361243, 39.46440078601985], ""type"": ""Point""}";39.46440078601985, -0.3954501872361243
172570;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39392441260843486, 39.4660137557412], ""type"": ""Point""}";39.4660137557412, -0.39392441260843486
172571;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39477195577401886, 39.46697936093785], ""type"": ""Point""}";39.46697936093785, -0.39477195577401886
172581;2;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3350345298915919, 39.46598618605458], ""type"": ""Point""}";39.46598618605458, -0.3350345298915919
172582;2;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.33576058340490045, 39.466205215091165], ""type"": ""Point""}";39.466205215091165, -0.33576058340490045
172584;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3342278009251142, 39.46829446122778], ""type"": ""Point""}";39.46829446122778, -0.3342278009251142
172588;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3394392347575104, 39.46697832870794], ""type"": ""Point""}";39.46697832870794, -0.3394392347575104
172589;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.33942667324003234, 39.46739487594789], ""type"": ""Point""}";39.46739487594789, -0.33942667324003234
172590;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3403708997684691, 39.46733277123875], ""type"": ""Point""}";39.46733277123875, -0.3403708997684691
172595;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39413138664410824, 39.45827581934267], ""type"": ""Point""}";39.45827581934267, -0.39413138664410824
172597;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.392929229794396, 39.45916302133984], ""type"": ""Point""}";39.45916302133984, -0.392929229794396
172608;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3843805213533284, 39.462460670069774], ""type"": ""Point""}";39.462460670069774, -0.3843805213533284
172609;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38440042147206777, 39.46274852625982], ""type"": ""Point""}";39.46274852625982, -0.38440042147206777
172612;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38025207942689865, 39.4631540151783], ""type"": ""Point""}";39.4631540151783, -0.38025207942689865
172614;4;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3810159409473167, 39.46434079152743], ""type"": ""Point""}";39.46434079152743, -0.3810159409473167
172617;2;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3890403338634504, 39.45995766649426], ""type"": ""Point""}";39.45995766649426, -0.3890403338634504
172618;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3906275974687287, 39.45954767482991], ""type"": ""Point""}";39.45954767482991, -0.3906275974687287
172621;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.35847943616342637, 39.48574155792977], ""type"": ""Point""}";39.48574155792977, -0.35847943616342637
172632;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.360305476270598, 39.4915263686647], ""type"": ""Point""}";39.4915263686647, -0.360305476270598
