Carrer / Calle;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
HONDURAS;257059;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3449873137313962, 39.47418260815355], ""type"": ""Point""}";39.47418260815355, -0.3449873137313962
HONDURAS;257060;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3450694426190863, 39.474201114711434], ""type"": ""Point""}";39.474201114711434, -0.3450694426190863
SERPIS;257064;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34130662598705647, 39.47365951338591], ""type"": ""Point""}";39.47365951338591, -0.34130662598705647
ACTOR ENRIQUE RAMBAL;257065;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3416908570301795, 39.47343360779707], ""type"": ""Point""}";39.47343360779707, -0.3416908570301795
SERPIS;257068;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3401645066321717, 39.47356337916962], ""type"": ""Point""}";39.47356337916962, -0.3401645066321717
MANUEL DE FALLA;257072;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.40082275573169984, 39.4755924793905], ""type"": ""Point""}";39.4755924793905, -0.40082275573169984
CAMPOAMOR;257084;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3484718099482858, 39.47159185568444], ""type"": ""Point""}";39.47159185568444, -0.3484718099482858
HISTORIADORA SYLVIA ROMEU;257086;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3480395361620194, 39.47077626650886], ""type"": ""Point""}";39.47077626650886, -0.3480395361620194
HISTORIADORA SYLVIA ROMEU;257088;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3477485894409026, 39.471024060860934], ""type"": ""Point""}";39.471024060860934, -0.3477485894409026
HISTORIADORA SYLVIA ROMEU;257092;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34792402119318977, 39.47066951612248], ""type"": ""Point""}";39.47066951612248, -0.34792402119318977
FRANCO TORMO;257093;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3906689245540252, 39.45837843662673], ""type"": ""Point""}";39.45837843662673, -0.3906689245540252
MAESTRO BUENAVENTURA PASCUAL;257094;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.35693082794132314, 39.48690356105209], ""type"": ""Point""}";39.48690356105209, -0.35693082794132314
POETA MAS Y ROS;257095;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34786720323736686, 39.47023697923593], ""type"": ""Point""}";39.47023697923593, -0.34786720323736686
DOCTOR VICENTE ZARAGOZA;257096;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3589394418505165, 39.483905805086536], ""type"": ""Point""}";39.483905805086536, -0.3589394418505165
CAMPOAMOR;257098;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3462720715799148, 39.470886661866636], ""type"": ""Point""}";39.470886661866636, -0.3462720715799148
CAMPOAMOR;257102;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34712201962564576, 39.47093976982922], ""type"": ""Point""}";39.47093976982922, -0.34712201962564576
CAMPOAMOR;257103;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34708979895677994, 39.47101165385009], ""type"": ""Point""}";39.47101165385009, -0.34708979895677994
JUAN XXIII;257117;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3831009447964269, 39.492474736661364], ""type"": ""Point""}";39.492474736661364, -0.3831009447964269
POETA DURAN Y TORTAJADA;257118;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3433778946735524, 39.47123546870621], ""type"": ""Point""}";39.47123546870621, -0.3433778946735524
JALANCE;257120;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34438715372116924, 39.47081445947595], ""type"": ""Point""}";39.47081445947595, -0.34438715372116924
CAMPOAMOR;257122;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3430878330221003, 39.469690701254585], ""type"": ""Point""}";39.469690701254585, -0.3430878330221003
AYORA;257125;6;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39217840816735683, 39.46619081008925], ""type"": ""Point""}";39.46619081008925, -0.39217840816735683
ARCHIDUQUE CARLOS;257126;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39296811527865655, 39.46673996770281], ""type"": ""Point""}";39.46673996770281, -0.39296811527865655
SAGUNTO;257127;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.375025458172975, 39.482848575449296], ""type"": ""Point""}";39.482848575449296, -0.375025458172975
VALDELINARES;257128;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39600849136245125, 39.480874350759656], ""type"": ""Point""}";39.480874350759656, -0.39600849136245125
